Protein IDs,Majority protein IDs,Peptide counts (all),Peptide counts (razor+unique),Peptide counts (unique),Protein names,Gene names,Fasta headers,Number of proteins,Peptides,Razor + unique peptides,Unique peptides,Peptides U2932_L1_rep1,Peptides U2932_L1_rep2,Razor + unique peptides U2932_L1_rep1,Razor + unique peptides U2932_L1_rep2,Unique peptides U2932_L1_rep1,Unique peptides U2932_L1_rep2,Sequence coverage [%],Unique + razor sequence coverage [%],Unique sequence coverage [%],Mol. weight [kDa],Sequence length,Sequence lengths,Q-value,Score,Ratio H/L,Ratio H/L normalized,Ratio H/L variability [%],Ratio H/L count,Ratio H/L iso-count,Ratio H/L type,Ratio H/L U2932_L1_rep1,Ratio H/L normalized U2932_L1_rep1,Ratio H/L variability [%] U2932_L1_rep1,Ratio H/L count U2932_L1_rep1,Ratio H/L iso-count U2932_L1_rep1,Ratio H/L type U2932_L1_rep1,Ratio H/L U2932_L1_rep2,Ratio H/L normalized U2932_L1_rep2,Ratio H/L variability [%] U2932_L1_rep2,Ratio H/L count U2932_L1_rep2,Ratio H/L iso-count U2932_L1_rep2,Ratio H/L type U2932_L1_rep2,Sequence coverage U2932_L1_rep1 [%],Sequence coverage U2932_L1_rep2 [%],Intensity,Intensity L,Intensity H,Intensity U2932_L1_rep1,Intensity L U2932_L1_rep1,Intensity H U2932_L1_rep1,Intensity U2932_L1_rep2,Intensity L U2932_L1_rep2,Intensity H U2932_L1_rep2,Only identified by site,Reverse,Potential contaminant,id,Peptide IDs,Peptide is razor,Mod. peptide IDs,Evidence IDs,MS/MS IDs,Best MS/MS,Deamidation (N) site IDs,Oxidation (M) site IDs,Deamidation (N) site positions,Oxidation (M) site positions
B4DGD9;Q96SI1;Q96SI1-2,B4DGD9;Q96SI1;Q96SI1-2,3;3;2,3;3;2,3;3;2,BTB/POZ domain-containing protein KCTD15,KCTD15,">tr|B4DGD9|B4DGD9_HUMAN cDNA FLJ61112, highly similar to BTB/POZ domain-containing protein KCTD15 OS=Homo sapiens PE=2 SV=1;>sp|Q96SI1|KCD15_HUMAN BTB/POZ domain-containing protein KCTD15 OS=Homo sapiens GN=KCTD15 PE=1 SV=1;>sp|Q96SI1-2|KCD15_HUMAN Isoform",3,3,3,3,2,2,2,2,2,2,9.4,9.4,9.4,32.371,287,287;283;234,0,19.52,16.837,25.888,10.314,3,3,Plateau,15.485,24.153,14.37,2,2,Median,NaN,NaN,NaN,1,1,Median,6.6,5.9,89001000,6128100,82873000,52735000,3954700,48780000,36266000,2173400,34093000,,,,422,975;2125;4783,True;True;True,993;2178;4902,2956;6272;14462;14463,4692;9673;22365;22366,4692;9673;22366,62,,226,
J9R021;Q14152;Q24JU4;F5H335;B4DYS1;Q7Z5T5;Q6P1R0;Q05BS0;Q3B770,J9R021;Q14152;Q24JU4;F5H335;B4DYS1;Q7Z5T5;Q6P1R0;Q05BS0;Q3B770,47;47;46;42;40;30;27;26;26,47;47;46;42;40;30;27;26;26,47;47;46;42;40;30;27;26;26,Eukaryotic translation initiation factor 3 subunit A,eIF3a;EIF3A,>tr|J9R021|J9R021_HUMAN Eukaryotic translation initiation factor 3 subunit A OS=Homo sapiens GN=eIF3a PE=2 SV=1;>sp|Q14152|EIF3A_HUMAN Eukaryotic translation initiation factor 3 subunit A OS=Homo sapiens GN=EIF3A PE=1 SV=1;>tr|Q24JU4|Q24JU4_HUMAN Eukaryoti,9,47,47,47,40,33,40,33,40,33,31,31,31,166.48,1382,1382;1382;1382;1348;1348;812;636;634;640,0,323.31,16.38,25.794,79.657,46,0,Median,17.175,30.408,62.616,26,0,Median,15.742,22.98,92.172,20,0,Median,26.8,24.1,33645000000,1211700000,32433000000,18877000000,672010000,18205000000,14768000000,539670000,14228000000,,,,904,429;519;520;626;719;1461;1468;1753;1802;1823;1953;2114;2224;2476;2569;3217;3237;3317;3376;3556;3759;3945;4163;4295;4361;4364;4581;4678;5089;5303;5391;5483;5636;6021;6029;6030;6146;6156;6162;6322;6492;7166;7232;7833;7952;8215;8373,True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True,437;529;530;638;732;1501;1509;1801;1850;1871;2002;2166;2279;2532;2628;3287;3288;3309;3390;3451;3636;3637;3847;4037;4258;4394;4461;4464;4690;4791;5215;5445;5542;5636;5797;6193;6202;6203;6320;6330;6336;6498;6668;6669;7352;7421;8046;8171;8439;8601,1221;1222;1223;1224;1225;1226;1227;1502;1503;1504;1505;1796;1797;2078;2079;2080;2081;2082;2083;2084;2085;4402;4403;4404;4405;4406;4407;4426;5279;5453;5485;5876;6231;6232;6494;6495;6496;6497;6498;7171;7409;7410;9567;9568;9569;9647;9834;9835;9962;9963;9964;9965;9966;9967;9968;10532;10533;10534;10535;11162;11840;11841;12484;12485;12486;12487;12488;12916;12917;12918;12919;12920;12921;12922;12923;12924;12925;12926;12927;12928;12929;12930;13100;13101;13121;13122;13839;14191;14192;15473;15474;16124;16411;16412;16643;16644;17052;18102;18120;18121;18122;18123;18544;18545;18546;18547;18548;18549;18598;18609;19087;19088;19089;19090;19091;19489;19490;19491;19492;19493;19494;19495;19496;19497;19498;19499;19500;19501;19502;19503;21570;21792;21793;23999;24000;24001;24002;24003;24004;24005;24006;24351;25089;25510;25511;25512;25513,1883;1884;1885;1886;1887;1888;1889;2303;2304;2305;2306;2744;2745;3182;3183;3184;3185;3186;3187;3188;3189;3190;3191;3192;6944;6945;6946;6947;6948;6949;6950;6951;6952;6972;8206;8471;8507;9083;9610;9611;9612;9968;9969;9970;9971;9972;10951;11308;11309;14754;14755;14756;14868;15170;15171;15369;15370;15371;15372;15373;15374;15375;15376;16255;16256;16257;16258;17227;18277;18278;19258;19259;19260;19261;19262;19949;19950;19951;19952;19953;19954;19955;19956;19957;19958;19959;19960;19961;19962;19963;19964;20245;20246;20288;20289;21369;21952;21953;21954;21955;23739;23740;23741;23742;24728;25166;25167;25527;25528;26108;27632;27661;27662;27663;27664;28329;28330;28331;28332;28333;28334;28335;28427;28441;29140;29141;29142;29143;29144;29145;29146;29147;29148;29691;29692;29693;29694;29695;29696;29697;29698;29699;29700;29701;29702;29703;29704;29705;29706;29707;29708;29709;29710;29711;29712;29713;29714;32840;33165;33166;36473;36474;36475;36476;36477;36478;36479;36480;36481;36482;36483;36484;36485;36486;36487;36488;36999;38114;38727;38728;38729;38730;38731;38732,1884;2304;2306;2744;3184;6948;6972;8206;8471;8507;9083;9610;9969;10951;11309;14754;14868;15170;15373;16257;17227;18277;19260;19959;20245;20288;21369;21954;23740;24728;25167;25527;26108;27632;27661;27664;28329;28427;28441;29142;29698;32840;33165;36483;36999;38114;38728,128,109;110;111;112,288,51;272;374;736
Q6IAX5;B2R806;P60228;B3KW56;E5RGA2;H0YBR5;E5RHS5;E5RIT4;E5RIP5;E5RJ25;E5RII3;H0YAW4;H0YBP5,Q6IAX5;B2R806;P60228;B3KW56;E5RGA2,14;14;14;12;9;6;5;4;2;2;2;2;1,14;14;14;12;9;6;5;4;2;2;2;2;1,14;14;14;12;9;6;5;4;2;2;2;2;1,Eukaryotic translation initiation factor 3 subunit E,EIF3S6;EIF3E,>tr|Q6IAX5|Q6IAX5_HUMAN Eukaryotic translation initiation factor 3 subunit E OS=Homo sapiens GN=EIF3S6 PE=2 SV=1;>tr|B2R806|B2R806_HUMAN Eukaryotic translation initiation factor 3 subunit E OS=Homo sapiens GN=EIF3E PE=2 SV=1;>sp|P60228|EIF3E_HUMAN Eukaryot,13,14,14,14,13,14,13,14,13,14,31.5,31.5,31.5,52.205,445,445;445;445;396;352;171;226;75;45;56;75;156;74,0,102.7,16.97,25.653,57.539,28,0,Median,16.97,25.653,57.268,14,0,Median,16.562,24.184,59.953,14,0,Median,28.5,31.5,23690000000,1083000000,22607000000,11192000000,426160000,10766000000,12498000000,656880000,11841000000,,,,269,201;2901;3251;4331;4773;5260;5488;5757;5873;6744;7360;7725;7890;8399,True;True;True;True;True;True;True;True;True;True;True;True;True;True,203;2964;3323;4431;4891;4892;5391;5641;5921;6042;6924;7555;7936;8103;8629,484;485;8459;8460;8461;9680;13030;13031;13032;13033;14438;14439;16010;16011;16652;16653;16654;16655;17378;17379;17380;17718;17719;20255;20256;22157;22158;22159;23643;23644;24143;24144;24145;24146;25568;25569;25570,729;730;731;12932;12933;12934;12935;12936;12937;12938;12939;12940;14919;20122;20123;20124;20125;20126;20127;20128;20129;20130;20131;20132;22336;22337;24572;24573;25540;25541;25542;25543;25544;25545;25546;25547;25548;26620;26621;26622;26623;27085;27086;27087;27088;30828;30829;33704;33705;33706;35903;35904;36701;36702;36703;36704;36705;38818;38819;38820;38821;38822;38823;38824;38825,729;12934;14919;20124;22336;24573;25540;26621;27088;30829;33704;35903;36704;38823,,26;27;28;29,,94;362;417;420
Q2L6I0;Q96QC0;Q58F28,Q2L6I0;Q96QC0;Q58F28,4;4;2,4;4;2,4;4;2,Serine/threonine-protein phosphatase 1 regulatory subunit 10,PPP1R10,>tr|Q2L6I0|Q2L6I0_HUMAN FB19 protein OS=Homo sapiens GN=PPP1R10 PE=2 SV=1;>sp|Q96QC0|PP1RA_HUMAN Serine/threonine-protein phosphatase 1 regulatory subunit 10 OS=Homo sapiens GN=PPP1R10 PE=1 SV=1;>tr|Q58F28|Q58F28_HUMAN PPP1R10 protein (Fragment) OS=Homo sa,3,4,4,4,2,2,2,2,2,2,5.7,5.7,5.7,99.057,940,940;940;312,0,24.027,15.559,24.802,45.855,4,2,Median,18.548,30.285,66.412,2,1,Median,15.545,24.733,38.564,2,1,Median,3.6,2.1,228690000,13689000,215000000,133900000,6780600,127120000,94786000,6908600,87877000,,,,1303,2386;2482;5671;6826,True;True;True;True,2442;2538;5833;7007,6972;7191;17128;20535,10657;10980;26210;31255,10657;10980;26210;31255,,,,
B4DXN6;B4DV79;A4D210;P55884;P55884-2;Q96G38;Q86UM1;C9JQN7;C9JZG1;Q59FS8,B4DXN6;B4DV79;A4D210;P55884;P55884-2;Q96G38,18;18;18;18;18;17;8;6;6;5,18;18;18;18;18;17;8;6;6;5,18;18;18;18;18;17;8;6;6;5,Eukaryotic translation initiation factor 3 subunit B,EIF3B;EIF3S9,>tr|B4DXN6|B4DXN6_HUMAN Eukaryotic translation initiation factor 3 subunit B OS=Homo sapiens GN=EIF3B PE=2 SV=1;>tr|B4DV79|B4DV79_HUMAN Eukaryotic translation initiation factor 3 subunit B OS=Homo sapiens GN=EIF3B PE=2 SV=1;>tr|A4D210|A4D210_HUMAN Eukaryot,10,18,18,18,16,14,16,14,16,14,28.3,28.3,28.3,77.225,661,661;738;775;814;873;622;385;153;302;170,0,127.37,13.76,22.772,68.506,63,0,Median,13.535,22.382,75.914,32,0,Median,14.322,23.007,60.861,31,0,Median,24.2,23,34294000000,1716700000,32577000000,21753000000,1109000000,20644000000,12541000000,607620000,11933000000,,,,44,1192;1205;1949;1955;2345;2420;2673;2682;3522;3548;5446;5680;7531;7912;8073;8230;8486;8487,True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True,1224;1238;1998;2004;2401;2476;2733;2742;3601;3628;5599;5842;7729;8129;8293;8294;8455;8721;8722,3665;3666;3667;3668;3669;3708;5845;5846;5847;5848;5849;5850;5851;5852;5853;5854;5855;5856;5857;5858;5859;5860;5861;5862;5863;5864;5865;5866;5867;5868;5879;6843;6844;6845;6846;6847;6848;7053;7054;7055;7674;7702;7703;7704;7705;7706;7707;7708;7709;7710;7711;7712;7713;7714;7715;7716;7717;7718;7719;7720;7721;10395;10396;10507;10508;16553;16554;16555;16556;16557;16558;17144;17145;17146;17147;17148;23083;23084;24228;24229;24230;24231;24232;24735;24736;25132;25795;25796;25797;25798;25799;25800;25801;25802;25803;25804;25805,5805;5806;5807;5808;5809;5810;5811;5864;9034;9035;9036;9037;9038;9039;9040;9041;9042;9043;9044;9045;9046;9047;9048;9049;9050;9051;9052;9053;9054;9055;9056;9057;9058;9059;9060;9061;9062;9063;9064;9065;9066;9067;9068;9069;9070;9071;9072;9073;9074;9086;10488;10489;10490;10491;10492;10493;10494;10495;10496;10777;10778;10779;10780;10781;10782;10783;10784;10785;11691;11730;11731;11732;11733;11734;11735;11736;11737;11738;11739;11740;11741;11742;11743;11744;11745;11746;11747;11748;11749;11750;11751;11752;11753;11754;11755;11756;11757;11758;11759;11760;11761;16015;16016;16213;16214;25378;25379;25380;25381;25382;25383;25384;25385;26231;26232;26233;26234;26235;26236;26237;26238;26239;35093;35094;35095;36818;36819;36820;36821;36822;36823;37608;37609;38176;39182;39183;39184;39185;39186;39187;39188;39189;39190;39191;39192;39193;39194;39195,5808;5864;9036;9086;10495;10779;11691;11743;16016;16213;25384;26234;35093;36822;37609;38176;39186;39190,,3,,343
B4DJ39;B4DSM0;B4DPY8;O94842;C9J919;C9JNL1,B4DJ39;B4DSM0;B4DPY8;O94842,3;3;3;3;1;1,3;3;3;3;1;1,3;3;3;3;1;1,TOX high mobility group box family member 4,TOX4,">tr|B4DJ39|B4DJ39_HUMAN cDNA FLJ54357, highly similar to Epidermal Langerhans cell protein LCP1 OS=Homo sapiens PE=2 SV=1;>tr|B4DSM0|B4DSM0_HUMAN cDNA FLJ54382, highly similar to Epidermal Langerhans cell protein LCP1 OS=Homo sapiens PE=2 SV=1;>tr|B4DPY8|B",6,3,3,3,2,3,2,3,2,3,8,8,8,59.39,549,549;595;598;621;170;222,0,32.806,11.877,21.772,75.282,5,3,Median,6.2764,9.5658,109.73,2,1,Median,18.447,23.908,11.438,3,2,Median,5.6,8,175810000,13830000,161980000,83104000,7938800,75166000,92704000,5891100,86813000,,,,435,1279;3409;5031,True;True;True,1314;3485;5157,3897;3898;10069;15350;15351,6158;6159;6160;15533;23569;23570,6159;15533;23570,,,,
Q6IAM0;O75821;A8K5K5;K7ER90;K7EL20;K7ENA8;K7EP16;B7Z1G0;B0AZV5;K7EL60,Q6IAM0;O75821;A8K5K5;K7ER90;K7EL20;K7ENA8;K7EP16,8;8;7;6;6;5;4;2;1;1,8;8;7;6;6;5;4;2;1;1,8;8;7;6;6;5;4;2;1;1,Eukaryotic translation initiation factor 3 subunit G,EIF3S4;EIF3G,>tr|Q6IAM0|Q6IAM0_HUMAN Eukaryotic translation initiation factor 3 subunit G OS=Homo sapiens GN=EIF3S4 PE=2 SV=1;>sp|O75821|EIF3G_HUMAN Eukaryotic translation initiation factor 3 subunit G OS=Homo sapiens GN=EIF3G PE=1 SV=2;>tr|A8K5K5|A8K5K5_HUMAN Eukaryot,10,8,8,8,8,3,8,3,8,3,27.5,27.5,27.5,35.601,320,320;320;320;227;263;289;118;144;122;149,0,67.294,13.432,21.612,27.304,5,0,Median,60.811,19.423,125.45,11,9,Linear,13.432,21.612,31.282,3,0,Median,27.5,10.6,2890400000,173420000,2717000000,2007900000,88078000,1919800000,882480000,85340000,797140000,,,,990,1599;1612;1613;1837;1838;2325;2442;8078,True;True;True;True;True;True;True;True,1644;1657;1658;1886;1887;2381;2498;8301,4848;4849;4850;4851;4885;4886;5565;5566;6791;6792;6793;6794;6795;7096;24749;24750;24751,7605;7606;7607;7608;7648;7649;8635;8636;10401;10402;10403;10404;10405;10406;10407;10408;10409;10410;10411;10844;37626;37627;37628,7607;7648;7649;8635;8636;10402;10844;37626,,,,
Q32Q75;D6RBW1;P06730;P06730-3;P06730-2;B7Z2T1;H0Y8J7;D6RFJ3,Q32Q75;D6RBW1;P06730;P06730-3;P06730-2;B7Z2T1;H0Y8J7,4;4;4;4;4;2;2;1,4;4;4;4;4;2;2;1,4;4;4;4;4;2;2;1,Eukaryotic translation initiation factor 4E,EIF4E,>tr|Q32Q75|Q32Q75_HUMAN Eukaryotic translation initiation factor 4E OS=Homo sapiens GN=EIF4E PE=2 SV=1;>tr|D6RBW1|D6RBW1_HUMAN Eukaryotic translation initiation factor 4E OS=Homo sapiens GN=EIF4E PE=2 SV=1;>sp|P06730|IF4E_HUMAN Eukaryotic translation initi,8,4,4,4,2,4,2,4,2,4,20.3,20.3,20.3,25.067,217,217;245;217;237;248;136;155;42,0,30.654,15.48,20.736,29.677,6,0,Median,15.949,21.437,74.172,3,1,Plateau,11.401,16.25,32.913,4,0,Median,13.4,20.3,2361100000,141660000,2219500000,1290900000,71812000,1219100000,1070200000,69845000,1000400000,,,,712,1395;3588;7017;7409,True;True;True;True,1432;3669;7200;7604,4219;10631;10632;10633;10634;21155;21156;22289,6682;6683;16390;16391;16392;16393;16394;16395;16396;16397;16398;32180;32181;32182;33927,6682;16392;32181;33927,,,,
B4DVY1;A8MWD3;O15371;B4E1K8;B0QYA3;B0QYA5;B0QYA8;B0QYA6;B0QYA7,B4DVY1;A8MWD3;O15371;B4E1K8;B0QYA3,10;10;10;9;6;3;1;1;1,10;10;10;9;6;3;1;1;1,5;5;5;4;1;3;1;1;1,Eukaryotic translation initiation factor 3 subunit D,EIF3D,>tr|B4DVY1|B4DVY1_HUMAN Eukaryotic translation initiation factor 3 subunit D OS=Homo sapiens GN=EIF3D PE=2 SV=1;>tr|A8MWD3|A8MWD3_HUMAN Eukaryotic translation initiation factor 3 subunit D OS=Homo sapiens GN=EIF3D PE=2 SV=2;>sp|O15371|EIF3D_HUMAN Eukaryoti,9,10,10,5,9,8,9,8,5,4,19.4,19.4,9.6,58.14,499,499;533;548;451;172;269;123;173;186,0,81.999,13.403,20.72,66.774,23,0,Median,13.281,20.663,76.273,14,0,Median,13.452,21.247,52.841,9,0,Median,17.8,14,14115000000,1073300000,13041000000,7646100000,586090000,7060000000,6468500000,487190000,5981300000,,,,197,2256;2769;3175;4362;5343;6117;6897;7217;7435;8380,True;True;True;True;True;True;True;True;True;True,2311;2829;3245;4462;5486;6291;7079;7406;7632;8608,6576;8057;9413;9414;9415;9416;9417;9418;9419;9420;9421;9422;9423;9424;9425;9426;9427;13102;13103;13104;13105;13106;13107;13108;13109;13110;13111;16233;16234;16235;16236;18462;18463;20693;20694;20695;20696;20697;21730;21731;21732;21733;21734;22351;25527;25528;25529;25530,10072;12316;14470;14471;14472;14473;14474;14475;14476;14477;14478;14479;14480;14481;14482;14483;14484;14485;14486;14487;14488;14489;14490;14491;14492;14493;14494;14495;14496;14497;14498;14499;14500;14501;14502;14503;14504;14505;14506;14507;14508;20247;20248;20249;20250;20251;20252;20253;20254;20255;20256;20257;20258;20259;20260;20261;20262;20263;20264;20265;20266;20267;20268;20269;20270;24894;24895;24896;24897;24898;28209;28210;31474;31475;31476;31477;31478;31479;31480;33084;33085;33086;33087;33088;33089;33090;33091;33092;34013;38764;38765;38766;38767,10072;12316;14502;20247;24897;28209;31478;33085;34013;38765,15;16,,356;378,
B4DVD7;B7ZAM9;Q9UBQ5;K7ES31;K7EMQ9;K7EQM4;U3LUI4;K7ERF1;B4DQ48;K7EK53,B4DVD7;B7ZAM9;Q9UBQ5;K7ES31;K7EMQ9;K7EQM4;U3LUI4;K7ERF1,5;5;5;3;3;3;3;3;2;2,5;5;5;3;3;3;3;3;2;2,5;5;5;3;3;3;3;3;2;2,Eukaryotic translation initiation factor 3 subunit K,EIF3K,>tr|B4DVD7|B4DVD7_HUMAN Eukaryotic translation initiation factor 3 subunit K OS=Homo sapiens GN=EIF3K PE=2 SV=1;>tr|B7ZAM9|B7ZAM9_HUMAN Eukaryotic translation initiation factor 3 subunit K OS=Homo sapiens GN=EIF3K PE=2 SV=1;>sp|Q9UBQ5|EIF3K_HUMAN Eukaryoti,10,5,5,5,4,5,4,5,4,5,26.1,26.1,26.1,24.502,211,211;211;218;137;140;170;185;192;124;131,0,59.066,13.247,20.571,58.518,6,0,Median,13.434,21.016,64.074,3,0,Median,13.063,20.134,66.728,3,0,Median,19.4,26.1,8372700000,389510000,7983100000,3973800000,159770000,3814100000,4398800000,229740000,4169100000,,,,518,493;1722;2041;3734;8415,True;True;True;True;True,503;1770;2092;3821;8647,1407;1408;1409;1410;1411;1412;5196;6073;6074;6075;6076;6077;11088;11089;25629;25630,2148;2149;2150;2151;2152;2153;2154;2155;2156;2157;2158;2159;2160;8091;9382;9383;9384;9385;9386;9387;9388;9389;9390;9391;9392;9393;9394;9395;9396;9397;9398;9399;9400;17111;17112;17113;17114;17115;17116;38933;38934,2156;8091;9394;17114;38933,,,,
B4DMT5;B3KSH1;O00303;B4DEW9;H0YDT6;E9PQV8;Q9BX72,B4DMT5;B3KSH1;O00303;B4DEW9,5;5;5;4;2;1;1,5;5;5;4;2;1;1,5;5;5;4;2;1;1,Eukaryotic translation initiation factor 3 subunit F,EIF3F,>tr|B4DMT5|B4DMT5_HUMAN Eukaryotic translation initiation factor 3 subunit F OS=Homo sapiens GN=EIF3F PE=2 SV=1;>tr|B3KSH1|B3KSH1_HUMAN Eukaryotic translation initiation factor 3 subunit F OS=Homo sapiens GN=EIF3F PE=2 SV=1;>sp|O00303|EIF3F_HUMAN Eukaryoti,7,5,5,5,5,4,5,4,5,4,19.9,19.9,19.9,33.24,307,307;372;357;208;100;124;348,0,58.746,12.557,18.329,2.7691,7,0,Median,12.83,18.754,3.5363,4,0,Median,12.377,18.185,1.0871,3,0,Median,19.9,17.3,5658900000,463570000,5195300000,3136300000,250900000,2885400000,2522500000,212670000,2309800000,,,,369,807;4450;7700;8010;8253,True;True;True;True;True,820;4552;7909;8230;8478,2521;2522;13359;13360;13361;13362;13363;23580;23581;23582;23583;23584;24543;24544;25188,4067;4068;20616;20617;20618;20619;20620;20621;20622;20623;20624;20625;20626;20627;20628;20629;20630;20631;20632;20633;20634;35816;35817;35818;35819;35820;35821;35822;35823;37288;37289;38258,4067;20625;35816;37289;38258,,,,
Q6IB98;Q53HR0;Q53HG0;B3KS98;O15372;Q5BKY2;E5RJT0;E5RGU4;E5RFW7;B4DJN9;E5RFH0,Q6IB98;Q53HR0;Q53HG0;B3KS98;O15372;Q5BKY2;E5RJT0,8;8;8;8;8;7;5;3;2;2;2,8;8;8;8;8;7;5;3;2;2;2,8;8;8;8;8;7;5;3;2;2;2,Eukaryotic translation initiation factor 3 subunit H,EIF3S3;EIF3H,">tr|Q6IB98|Q6IB98_HUMAN Eukaryotic translation initiation factor 3 subunit H OS=Homo sapiens GN=EIF3S3 PE=2 SV=1;>tr|Q53HR0|Q53HR0_HUMAN Eukaryotic translation initiation factor 3, subunit 3 gamma, 40kDa variant (Fragment) OS=Homo sapiens PE=2 SV=1;>tr|Q53",11,8,8,8,7,5,7,5,7,5,32.7,32.7,32.7,39.93,352,352;352;352;366;352;349;244;235;97;153;170,0,164.31,12.772,17.941,66.385,11,11,Median,11.623,15.783,63.047,8,8,Median,15.995,23.289,79.864,3,3,Median,25.6,19,1022800000,57337000,965420000,566480000,41678000,524800000,456280000,15659000,440620000,,,,366,453;2789;3039;4334;5474;5541;5999;6957,True;True;True;True;True;True;True;True,462;2849;3107;4434;5627;5697;5698;6171;7141,1275;8114;9036;13037;16628;16629;16804;16805;16806;16807;18047;18048;20986;20987;20988,1952;12406;13919;20137;25507;25508;25750;25751;25752;25753;25754;27554;27555;31929;31930;31931,1952;12406;13919;20137;25508;25751;27554;31929,,58;59,,215;247
Q5VY93;D3DVA5;Q92974-3;Q92974-2;Q92974;B7Z977;B4DJ49,Q5VY93;D3DVA5;Q92974-3;Q92974-2;Q92974,25;25;25;25;25;10;9,25;25;25;25;25;10;9,25;25;25;25;25;10;9,Rho guanine nucleotide exchange factor 2,ARHGEF2,">tr|Q5VY93|Q5VY93_HUMAN Rho guanine nucleotide exchange factor 2 OS=Homo sapiens GN=ARHGEF2 PE=2 SV=1;>tr|D3DVA5|D3DVA5_HUMAN Rho/rac guanine nucleotide exchange factor (GEF) 2, isoform CRA_a OS=Homo sapiens GN=ARHGEF2 PE=4 SV=1;>sp|Q92974-3|ARHG2_HUMAN Is",7,25,25,25,23,21,23,21,23,21,25.4,25.4,25.4,111.49,987,987;1030;958;985;986;515;443,0,323.31,10.803,17.12,45.137,37,0,Median,10.865,17.258,46.105,19,0,Median,10.629,16.999,44.741,18,0,Median,24.6,21.5,6735900000,544380000,6191600000,4099000000,336530000,3762500000,2636900000,207850000,2429100000,,,,700,225;680;1137;1363;1808;1810;2095;2660;2832;3377;4055;4218;4866;5503;5714;5726;5748;5783;5784;5919;6435;6716;7042;7420;8337,True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True,228;693;1160;1400;1856;1858;2147;2720;2893;3452;4150;4314;4985;5657;5658;5877;5889;5911;5948;5949;6089;6611;6896;7225;7226;7615;8563,529;530;1975;1976;3473;3474;4132;4133;4134;4135;4136;4137;4138;4139;5468;5469;5471;6191;6192;7644;7645;8267;8268;8269;8270;8271;9969;9970;9971;9972;9973;9974;9975;9976;9977;12234;12654;14661;14662;16679;16680;16681;16682;16683;16684;17218;17219;17220;17250;17251;17252;17302;17303;17478;17479;17480;17481;17839;17840;17841;19325;20158;20159;20160;20161;21222;21223;21224;21225;21226;21227;22305;22306;22307;25409,793;794;3023;3024;5472;5473;6556;6557;6558;6559;6560;6561;6562;6563;6564;6565;6566;6567;8488;8489;8490;8491;8493;9556;9557;11652;11653;12642;12643;12644;12645;12646;12647;15377;15378;15379;15380;15381;15382;15383;15384;15385;15386;15387;15388;15389;15390;18903;19533;19534;22643;22644;25577;25578;25579;25580;25581;25582;25583;25584;25585;25586;26323;26324;26325;26326;26327;26328;26329;26369;26370;26371;26372;26437;26438;26754;26755;26756;26757;26758;26759;27263;27264;27265;27266;27267;27268;29472;30677;30678;30679;30680;32316;32317;32318;32319;32320;32321;33949;33950;33951;38574,794;3024;5472;6564;8488;8493;9556;11652;12646;15386;18903;19534;22643;25581;26324;26369;26437;26754;26758;27264;29472;30679;32318;33949;38574,93;94;95,,102;103;710,
Q6IQ30;Q13310-2;Q13310-3;B1ANR0;Q13310;H0Y5F5;Q15164;H0YEU6;Q147Y3;Q3B867;Q59GZ7;Q53GL4;B1ANR1;H0Y6X6;H0YER0;H0YCC8;J3KTH5;P0CB38,Q6IQ30;Q13310-2;Q13310-3;B1ANR0;Q13310;H0Y5F5;Q15164,12;12;12;11;11;10;6;5;5;5;5;5;3;3;2;2;2;2,10;10;10;9;9;9;6;5;5;5;5;5;1;3;2;2;2;2,10;10;10;9;9;9;6;5;5;5;5;5;1;3;2;2;2;2,Polyadenylate-binding protein 4,PABPC4,>tr|Q6IQ30|Q6IQ30_HUMAN PABPC4 protein OS=Homo sapiens GN=PABPC4 PE=2 SV=1;>sp|Q13310-2|PABP4_HUMAN Isoform 2 of Polyadenylate-binding protein 4 OS=Homo sapiens GN=PABPC4;>sp|Q13310-3|PABP4_HUMAN Isoform 3 of Polyadenylate-binding protein 4 OS=Homo sapiens,18,12,10,10,10,10,8,10,8,10,18.8,13.8,13.8,72.36,660,660;631;660;615;644;550;193;249;252;281;358;371;129;195;68;197;428;370,0,76.807,9.727,15.309,50.934,20,0,Median,10.211,15.645,67.205,9,0,Median,9.2658,13.744,33.036,11,0,Median,16.4,13.8,2915400000,286480000,2628900000,1545500000,150210000,1395200000,1369900000,136270000,1233600000,,,,1263,512;1646;2160;2340;2527;3585;3706;5438;5439;6576;6609;7524,False;True;True;True;True;True;True;True;True;True;False;True,522;1693;2215;2396;2584;3666;3792;5591;5592;6753;6786;7722,1487;4995;6356;6357;6358;6359;6829;6830;7282;10624;10625;10626;10627;11000;11001;16532;16533;16534;16535;19718;19719;19720;19721;19795;23066;23067;23068,2279;7802;9785;9786;9787;9788;9789;9790;9791;10467;10468;11114;16381;16382;16383;16384;16385;16386;16999;17000;25348;25349;25350;25351;25352;25353;30027;30028;30029;30030;30031;30032;30142;35068;35069;35070,2279;7802;9787;10468;11114;16381;16999;25348;25353;30030;30142;35069,,,,
